Content ID,User ID,Cont_Type,Category,Age,Device,Duration,React_Type,Datetime,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,disgust,11/7/2020 9:43,negative,0.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,dislike,6/17/2021 12:22,negative,10.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,scared,4/18/2021 5:13,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,disgust,1/6/2021 19:13,negative,0.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,interested,8/23/2020 12:25,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,peeking,12/7/2020 6:27,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,cherish,4/11/2021 17:35,positive,70.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,hate,1/27/2021 8:32,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,peeking,4/1/2021 22:54,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,love,8/4/2020 5:05,positive,65.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,indifferent,11/7/2020 8:36,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,scared,11/2/2020 6:28,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,interested,11/1/2020 1:16,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,hate,10/7/2020 18:39,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,scared,9/3/2020 18:51,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,super love,2/24/2021 5:09,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,peeking,9/23/2020 6:24,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,indifferent,2/24/2021 11:37,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,interested,5/22/2021 19:44,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,intrigued,1/31/2021 16:03,positive,45.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,peeking,11/20/2020 17:26,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,worried,4/11/2021 20:47,negative,12.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,like,6/13/2021 16:46,positive,50.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,heart,4/11/2021 14:29,positive,60.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,worried,3/2/2021 19:21,negative,12.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,hate,6/27/2020 18:44,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,hate,5/9/2021 21:05,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,cherish,8/4/2020 23:58,positive,70.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,super love,8/28/2020 3:57,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,intrigued,8/25/2020 8:21,positive,45.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,scared,4/20/2021 23:48,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,interested,3/7/2021 12:40,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,indifferent,5/24/2021 3:21,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,super love,1/24/2021 11:03,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,disgust,4/9/2021 2:46,negative,0.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,super love,2/2/2021 3:43,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,interested,2/4/2021 3:06,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,dislike,11/9/2020 2:49,negative,10.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,scared,9/29/2020 16:00,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,dislike,11/29/2020 21:33,negative,10.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,want,2/13/2021 7:54,positive,70.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,interested,7/14/2020 5:28,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,indifferent,8/23/2020 10:30,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,worried,5/10/2021 9:27,negative,12.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,8d3cd87d-8a31-4935-9a4f-b319bfe05f31,photo,studying,13.0,Microsoft,10.0,hate,3/15/2021 3:59,negative,5.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,13.0,Huawei,54.0,dislike,6/25/2020 17:01,negative,10.0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,beb1f34e-7870-46d6-9fc7-2e12eb83ce43,photo,healthy eating,13.0,Huawei,54.0,intrigued,9/13/2020 0:11,positive,45.0
